NO2,O3
16.0,62.0
11.0,70.0
14.0,70.0
15.0,71.0
21.0,66.0
28.0,59.0
42.0,44.0
32.0,54.0
18.0,70.0
15.0,70.0
12.0,73.0
14.0,68.0
16.0,62.0
19.0,56.0
21.0,52.0
21.0,51.0
20.0,73.0
27.0,46.0
39.0,31.0
41.0,29.0
40.0,30.0
44.0,27.0
26.0,44.0
16.0,54.0
14.0,73.0
12.0,63.0
17.0,63.0
29.0,58.0
45.0,46.0
52.0,43.0
80.0,16.0
80.0,14.0
94.0,5.0
105.0,2.0
104.0,2.0
98.0,2.0
91.0,3.0
47.0,32.0
7.0,71.0
6.0,71.0
9.0,67.0
7.0,70.0
19.0,55.0
41.0,33.0
49.0,25.0
55.0,22.0
34.0,42.0
14.0,62.0
12.0,66.0
15.0,66.0
14.0,68.0
17.0,67.0
22.0,62.0
39.0,46.0
43.0,41.0
36.0,45.0
32.0,49.0
55.0,29.0
36.0,43.0
31.0,47.0
67.0,10.0
75.0,3.0
72.0,5.0
75.0,2.0
69.0,2.0
65.0,2.0
64.0,2.0
60.0,2.0
60.0,2.0
57.0,5.0
52.0,10.0
64.0,16.0
65.0,24.0
69.0,38.0
62.0,43.0
34.0,74.0
37.0,58.0
58.0,48.0
79.0,26.0
90.0,14.0
68.0,19.0
71.0,19.0
72.0,10.0
23.0,58.0
31.0,71.0
57.0,37.0
83.0,20.0
69.0,24.0
67.0,16.0
88.0,12.0
63.0,17.0
78.0,9.0
65.0,14.0
57.0,27.0
46.0,28.0
47.0,38.0
29.0,67.0
14.0,76.0
13.0,85.0
31.0,75.0
2.0,40.0
98.0,27.0
126.5,7.0
126.5,9.0
122.0,3.0
104.0,19.0
14.0,74.0
19.0,71.0
10.0,82.0
11.0,90.0
8.0,89.0
13.0,85.0
11.0,83.0
14.0,70.0
18.0,71.0
19.0,75.0
17.0,73.0
20.0,66.0
15.0,74.0
13.0,72.0
17.0,83.0
5.0,85.0
9.0,80.0
10.0,91.0
6.0,85.0
10.0,77.0
31.0,65.0
23.0,67.0
28.0,72.0
34.0,52.0
33.0,63.0
39.0,51.0
36.0,57.0
20.0,52.0
26.0,57.0
27.0,58.0
18.0,55.0
20.0,59.0
22.0,61.0
28.0,57.0
33.0,43.0
29.0,56.0
26.0,50.0
16.0,73.0
11.0,76.0
3.0,81.0
15.0,78.0
14.0,76.0
26.0,75.0
33.0,53.0
53.0,28.0
82.0,13.0
97.0,3.0
92.0,4.0
74.0,16.0
69.0,13.0
66.0,14.0
66.0,2.0
64.0,10.0
67.0,7.0
66.0,72.0
66.0,12.0
72.0,9.0
70.0,6.0
62.0,6.0
63.0,3.0
61.0,19.0
50.0,27.0
46.0,33.0
37.0,53.0
47.0,46.0
50.0,41.0
42.0,38.0
46.0,33.0
57.0,21.0
70.0,10.0
80.0,10.0
84.0,1.0
72.0,6.0
80.0,172.0
68.0,1.0
76.0,6.0
67.0,12.0
71.0,6.0
75.0,9.0
70.0,1.0
65.0,9.0
61.0,1.0
64.0,9.0
61.0,6.0
62.0,17.0
55.0,8.0
65.0,20.0
60.0,26.0
50.0,28.0
63.0,26.0
65.0,21.0
71.0,173.0
2.0,173.0
79.0,12.0
75.0,9.0
81.0,12.0
77.0,6.0
77.0,12.0
75.0,1.0
65.0,6.0
69.0,1.0
70.0,6.0
63.0,18.0
64.0,6.0
67.0,1.0
62.0,9.0
55.0,6.0
60.0,12.0
60.0,6.0
59.0,15.0
69.0,16.0
60.0,36.0
66.0,40.0
65.0,43.0
68.0,42.0
84.0,19.0
109.0,6.0
111.0,6.0
111.0,10.0
106.0,7.0
87.0,1.0
89.0,6.0
71.0,17.0
40.0,49.0
22.0,50.0
21.0,57.0
33.0,50.0
23.0,50.0
21.0,51.0
28.0,48.0
23.0,47.0
20.0,56.0
21.0,62.0
7.0,59.0
7.0,63.0
6.0,67.0
6.0,72.0
10.0,71.0
21.0,63.0
35.0,51.0
61.0,24.0
86.0,3.0
89.0,2.0
89.0,4.0
91.0,3.0
89.0,3.0
88.0,5.0
86.0,5.0
83.0,4.0
78.0,3.0
74.0,72.0
65.0,3.0
67.0,2.0
65.0,2.0
64.0,2.0
60.0,7.0
59.0,16.0
14.0,63.0
6.0,73.0
5.0,79.0
2.0,79.0
5.0,79.0
6.0,78.0
8.0,77.0
10.0,75.0
9.0,74.0
9.0,71.0
8.0,70.0
9.0,69.0
7.0,71.0
6.0,72.0
10.0,64.0
11.0,60.0
9.0,62.0
13.0,58.0
18.0,52.0
11.0,60.0
23.0,48.0
27.0,43.0
13.0,58.0
10.0,64.0
5.0,70.0
9.0,68.0
9.0,70.0
9.0,72.0
11.0,72.0
19.0,67.0
39.0,52.0
80.0,14.0
94.0,3.0
94.0,3.0
97.0,3.0
95.0,4.0
88.0,4.0
87.0,5.0
82.0,5.0
69.0,2.0
65.0,2.0
64.0,72.0
61.0,3.0
62.0,2.0
67.0,2.0
31.0,45.0
5.0,75.0
9.0,74.0
8.0,75.0
5.0,77.0
4.0,76.0
4.0,77.0
5.0,77.0
6.0,75.0
8.0,73.0
8.0,71.0
6.0,73.0
6.0,71.0
6.0,70.0
10.0,67.0
13.0,63.0
20.0,51.0
16.0,55.0
14.0,57.0
15.0,54.0
14.0,54.0
12.0,56.0
10.0,58.0
12.0,55.0
15.0,52.0
14.0,52.0
11.0,58.0
4.0,67.0
4.0,70.0
5.0,70.0
6.0,72.0
12.0,68.0
26.0,58.0
43.0,45.0
38.0,45.0
44.0,37.0
64.0,20.0
41.0,36.0
41.0,32.0
37.0,36.0
31.0,40.0
21.0,47.0
24.0,43.0
26.0,42.0
25.0,72.0
19.0,49.0
21.0,47.0
19.0,51.0
18.0,51.0
20.0,49.0
16.0,54.0
12.0,62.0
13.0,63.0
11.0,68.0
15.0,69.0
21.0,67.0
27.0,66.0
36.0,60.0
60.0,37.0
93.0,8.0
98.0,3.0
102.0,5.0
97.0,6.0
103.0,69.0
103.0,10.0
95.0,69.0
81.0,4.0
71.0,2.0
66.0,2.0
52.0,6.0
48.0,10.0
56.0,4.0
54.0,69.0
33.0,24.0
25.0,39.0
22.0,49.0
14.0,69.0
16.0,66.0
41.0,55.0
58.0,45.0
71.0,40.0
76.0,66.0
108.0,7.0
121.0,5.0
120.0,66.0
117.0,66.0
118.0,66.0
112.0,66.0
110.0,8.0
103.0,5.0
97.0,5.0
86.0,4.0
82.0,66.0
75.0,4.0
75.0,3.0
78.0,4.0
75.0,3.0
65.0,66.0
48.0,16.0
47.0,25.0
53.0,34.0
64.0,43.0
62.5,57.0
61.0,71.0
63.0,68.0
84.0,44.0
102.0,25.0
116.0,8.0
122.0,7.0
109.0,71.0
119.0,71.0
115.0,71.0
112.0,71.0
110.0,71.0
103.0,71.0
97.0,71.0
91.0,3.0
90.0,3.0
88.0,3.0
87.0,71.0
81.0,3.0
81.0,3.0
82.0,3.0
85.0,5.0
78.0,71.0
60.0,71.0
51.0,52.0
34.0,68.0
2.0,84.0
4.0,84.0
9.0,84.0
11.0,84.0
13.0,84.0
12.0,84.0
10.0,84.0
7.0,84.0
8.0,84.0
5.0,84.0
6.0,84.0
8.0,84.0
12.0,84.0
10.0,84.0
12.0,84.0
47.0,84.0
39.0,84.0
26.0,52.0
36.0,46.0
45.0,46.0
29.0,61.0
21.0,84.0
19.0,84.0
19.0,85.0
20.0,83.0
24.0,78.0
31.0,72.0
41.0,62.0
46.0,54.0
68.0,27.0
75.0,18.0
81.0,15.0
83.0,13.0
81.0,8.0
81.0,4.0
73.0,7.0
73.0,6.0
74.0,4.0
73.0,3.0
65.0,3.0
58.0,10.0
63.0,7.0
66.0,6.0
64.0,9.0
57.0,19.0
54.0,26.0
54.0,30.0
54.0,33.0
54.0,36.0
74.0,16.0
79.0,9.0
87.0,2.0
90.0,2.0
84.0,2.0
86.0,2.0
87.0,3.0
84.0,3.0
75.0,3.0
68.0,4.0
39.0,21.0
20.0,36.0
7.0,68.0
6.0,73.0
4.0,73.0
6.0,69.0
6.0,68.0
6.0,68.0
5.0,68.0
4.0,69.0
3.0,73.0
3.0,74.0
3.0,74.0
3.0,75.0
4.0,75.0
4.0,75.0
4.0,74.0
8.0,70.0
15.0,61.0
11.0,65.0
11.0,65.0
8.0,67.0
8.0,66.0
4.0,70.0
4.0,69.0
4.0,68.0
8.0,64.0
10.0,60.0
10.0,61.0
14.0,58.0
11.0,62.0
6.0,68.0
5.0,70.0
4.0,73.0
4.0,76.0
5.0,77.0
7.0,76.0
19.0,70.0
30.0,59.0
48.0,40.0
53.0,42.0
49.0,55.0
50.0,53.0
54.0,44.0
42.0,52.0
42.0,44.0
52.0,28.0
43.0,31.0
42.0,26.0
43.0,77.0
38.0,24.0
38.0,19.0
40.0,18.0
40.0,18.0
38.0,25.0
29.0,43.0
27.0,61.0
26.0,70.0
25.0,75.0
26.0,79.0
30.0,77.0
27.0,80.0
26.0,81.0
28.0,76.0
62.0,42.0
62.0,40.0
56.0,38.0
42.0,48.0
28.0,56.0
12.0,68.0
10.0,68.0
10.0,65.0
10.0,65.0
8.0,67.0
7.0,67.0
8.0,66.0
7.0,67.0
9.0,68.0
8.0,72.0
7.0,73.0
4.0,79.0
4.0,81.0
4.0,83.0
5.0,82.0
2.0,83.0
17.0,83.0
28.0,83.0
51.0,42.0
74.0,20.0
94.0,12.0
104.0,5.0
87.0,2.0
95.0,12.0
81.0,9.0
59.0,9.0
48.0,15.0
37.0,20.0
29.0,83.0
26.0,32.0
29.0,34.0
43.0,22.0
50.0,16.0
38.0,29.0
20.0,51.0
15.0,58.0
15.0,64.0
15.0,77.0
19.0,80.0
42.0,69.0
61.0,67.0
43.0,75.0
78.0,36.0
92.0,21.0
107.0,4.0
101.0,5.0
103.0,10.0
113.0,16.0
98.0,9.0
81.0,7.0
72.0,7.0
56.0,14.0
41.0,25.0
38.0,29.0
39.0,26.0
55.0,13.0
64.0,7.0
41.0,25.0
32.0,34.0
30.0,44.0
32.0,51.0
45.0,63.0
56.0,73.0
57.0,88.0
73.0,75.0
90.0,62.0
126.5,26.0
126.5,6.0
126.5,4.0
126.5,7.0
126.0,4.0
126.5,9.0
126.5,9.0
108.0,11.0
108.0,9.0
92.0,15.0
95.0,88.0
95.0,8.0
95.0,9.0
95.0,7.0
97.0,6.0
99.0,8.0
95.0,9.0
77.0,33.0
51.0,70.0
44.0,94.0
54.0,106.0
84.0,96.0
112.0,75.0
100.0,77.0
126.5,38.0
126.5,37.0
116.0,23.0
97.0,33.0
57.0,59.0
21.0,78.0
27.0,66.0
28.0,63.0
55.0,30.0
63.0,17.0
47.0,36.0
26.0,55.0
20.0,61.0
26.0,54.0
26.0,54.0
23.0,58.0
18.0,65.0
8.0,83.0
7.0,90.0
7.0,91.0
7.0,93.0
6.0,95.0
5.0,97.0
5.0,96.0
16.0,85.0
17.0,80.0
14.0,80.0
9.0,83.0
12.0,77.0
14.0,73.0
12.0,73.0
9.0,74.0
6.0,79.0
4.0,83.0
3.0,97.0
5.0,97.0
6.0,80.0
5.0,80.0
6.0,79.0
5.0,80.0
4.0,84.0
2.0,88.0
3.0,90.0
4.0,91.0
7.0,92.0
10.0,90.0
22.0,78.0
33.0,66.0
51.0,47.0
60.0,35.0
69.0,24.0
79.0,13.0
92.0,4.0
87.0,92.0
84.0,92.0
80.0,4.0
76.0,3.0
78.0,4.0
77.0,92.0
71.0,92.0
71.0,3.0
68.0,92.0
64.0,3.0
64.0,4.0
66.0,6.0
62.0,10.0
67.0,11.0
77.0,9.0
75.0,14.0
71.0,18.0
66.0,22.0
65.0,23.0
73.0,35.0
82.0,24.0
87.0,2.0
86.0,3.0
90.0,23.0
83.0,4.0
72.0,3.0
67.0,4.0
71.0,3.0
66.0,2.0
63.0,23.0
47.0,13.0
36.0,29.0
20.0,51.0
13.0,64.0
12.0,69.0
7.0,76.0
5.0,78.0
4.0,82.0
5.0,84.0
7.0,85.0
5.0,81.0
2.0,85.0
6.0,84.0
9.0,85.0
10.0,78.0
8.0,78.0
8.0,79.0
8.0,78.0
7.0,85.0
5.0,85.0
5.0,85.0
6.0,85.0
6.0,85.0
6.0,85.0
9.0,85.0
10.0,85.0
12.0,85.0
12.0,85.0
9.0,73.0
5.0,78.0
4.0,85.0
3.0,83.0
3.0,86.0
3.0,88.0
4.0,87.0
5.0,87.0
6.0,85.0
10.0,80.0
10.0,78.0
9.0,77.0
7.0,77.0
6.0,76.0
5.0,78.0
5.0,77.0
5.0,78.0
4.0,81.0
5.0,80.0
5.0,85.0
5.0,86.0
7.0,83.0
11.0,78.0
21.0,68.0
11.0,78.0
7.0,82.0
6.0,87.0
7.0,87.0
4.0,93.0
5.0,93.0
4.0,97.0
5.0,96.0
6.0,95.0
12.0,88.0
21.0,77.0
13.0,84.0
13.0,84.0
10.0,84.0
7.0,86.0
12.0,79.0
16.0,76.0
9.0,85.0
9.0,82.0
18.0,68.0
22.0,59.0
28.0,52.0
37.0,42.0
27.0,53.0
18.0,63.0
16.0,66.0
9.0,76.0
6.0,84.0
7.0,88.0
9.0,90.0
9.0,93.0
9.0,93.0
11.0,93.0
23.0,79.0
70.0,34.0
96.0,4.0
93.0,6.0
90.0,8.0
68.0,10.0
72.0,6.0
67.0,8.0
57.0,15.0
48.0,22.0
49.0,16.0
34.0,27.0
26.0,37.0
39.0,25.0
34.0,33.0
30.0,38.0
25.0,45.0
22.0,55.0
17.0,66.0
19.0,73.0
51.0,66.0
79.0,52.0
87.0,48.0
103.0,36.0
121.0,18.0
126.5,2.0
126.5,3.0
126.5,2.0
126.5,6.0
126.5,9.0
110.0,2.0
102.0,2.0
98.0,2.0
89.0,2.0
82.0,2.0
76.0,2.0
76.0,2.0
73.0,2.0
73.0,3.0
53.0,22.0
28.0,49.0
18.0,63.0
11.0,75.0
8.0,82.0
9.0,86.0
13.0,86.0
16.0,85.0
17.0,85.0
36.0,64.0
63.0,62.0
80.0,40.0
121.0,3.0
115.0,2.0
109.0,2.0
105.0,3.0
99.0,6.0
99.0,5.0
96.0,3.0
97.0,2.0
89.0,2.0
86.0,2.0
89.0,2.0
95.0,2.0
91.0,3.0
91.0,5.0
93.0,10.0
85.0,20.0
81.0,30.0
79.0,40.0
80.0,46.0
86.0,54.0
97.0,44.0
111.0,25.0
126.5,2.0
126.5,2.0
126.5,2.0
126.5,2.0
126.5,2.0
120.0,2.0
118.0,2.0
111.0,2.0
103.0,2.0
92.0,2.0
89.0,2.0
86.0,2.0
76.0,7.0
78.0,7.0
79.0,9.0
63.0,27.0
58.0,38.0
61.0,51.0
59.0,72.0
60.0,81.0
71.0,77.0
87.0,72.0
92.0,70.0
101.0,55.0
104.0,45.0
126.5,8.0
126.5,2.0
126.5,2.0
126.5,2.0
126.5,81.0
126.5,81.0
123.0,81.0
113.0,81.0
105.0,81.0
74.0,81.0
60.0,81.0
56.0,52.0
50.0,56.0
36.0,62.0
10.0,78.0
7.0,78.0
6.0,79.0
4.0,86.0
4.0,88.0
4.0,84.0
2.0,84.0
6.0,88.0
7.0,86.0
10.0,83.0
11.0,81.0
11.0,80.0
12.0,78.0
10.0,78.0
10.0,76.0
18.0,68.0
14.0,72.0
13.0,73.0
8.0,81.0
7.0,83.0
15.0,70.0
15.0,70.0
39.0,47.0
20.0,68.0
10.0,80.0
4.0,87.0
7.0,86.0
10.0,84.0
10.0,86.0
8.0,90.0
9.0,92.0
22.0,80.0
52.0,55.0
87.0,30.0
109.0,6.0
106.0,6.0
106.0,4.0
103.0,4.0
98.0,5.0
83.0,4.0
82.0,3.0
78.0,2.0
74.0,3.0
67.0,2.0
68.0,2.0
66.0,2.0
63.0,3.0
59.0,9.0
59.0,20.0
63.0,34.0
65.0,45.0
47.0,63.0
36.0,76.0
67.0,63.0
74.0,60.0
83.0,54.0
65.0,67.0
72.0,60.0
101.0,21.0
89.0,26.0
110.0,8.0
125.0,3.0
90.0,26.0
81.0,29.0
83.0,25.0
94.0,13.0
95.0,12.0
95.0,9.0
103.0,2.0
99.0,2.0
94.0,4.0
92.0,9.0
77.0,31.0
52.0,61.0
46.0,82.0
39.0,99.0
33.0,109.0
16.0,109.0
9.0,103.0
11.0,99.0
11.0,95.0
11.0,94.0
8.0,94.0
8.0,93.0
10.0,86.0
8.0,86.0
12.0,109.0
9.0,84.0
7.0,109.0
12.0,76.0
11.0,76.0
12.0,109.0
9.0,77.0
7.0,80.0
9.0,78.0
8.0,80.0
6.0,83.0
5.0,86.0
4.0,89.0
4.0,90.0
5.0,91.0
7.666666666666666,89.0
10.333333333333332,87.0
13.0,85.0
46.5,53.0
80.0,21.0
107.0,2.0
105.0,4.0
95.0,5.0
90.0,4.0
86.66666666666667,3.6666666666666665
83.33333333333333,3.3333333333333335
80.0,3.0
77.0,2.0
74.33333333333333,2.0
71.66666666666667,2.0
69.0,2.0
73.33333333333333,2.6666666666666665
77.66666666666667,3.333333333333333
82.0,4.0
84.0,5.0
88.0,6.5
92.0,8.0
80.0,14.0
68.0,20.0
62.0,25.0
57.0,29.0
64.0,23.0
68.0,19.0
54.0,29.0
60.0,20.0
56.0,20.0
62.0,13.0
55.0,19.0
54.0,18.0
52.0,19.0
54.0,17.0
55.0,17.0
61.0,9.0
60.0,6.0
57.0,7.0
56.0,8.0
54.0,9.0
51.0,19.0
54.0,29.0
61.0,34.0
73.0,41.0
86.0,46.0
92.0,46.0
106.0,35.0
96.0,39.0
32.0,72.0
14.0,83.0
16.0,80.0
16.0,77.0
18.0,73.0
16.0,74.0
12.0,78.0
9.0,83.0
8.0,83.0
10.0,83.0
13.0,77.0
20.0,67.0
19.0,67.0
37.0,46.0
67.0,19.0
43.0,42.0
27.0,57.0
25.0,63.0
24.0,69.0
12.0,83.0
11.0,85.0
14.0,86.0
14.0,87.0
14.0,84.0
17.0,80.0
32.0,76.0
47.0,53.0
67.0,34.0
92.0,10.0
95.0,7.0
99.0,4.0
102.0,2.0
99.0,2.0
99.0,2.0
86.0,2.0
77.0,2.0
69.0,2.0
67.0,2.0
51.0,12.0
41.0,26.0
26.0,49.0
16.0,66.0
14.0,73.0
17.0,74.0
16.0,81.0
12.0,88.0
13.0,88.0
17.0,84.0
22.0,79.0
40.0,59.0
54.0,42.0
24.0,70.0
13.0,81.0
12.0,80.0
19.0,72.0
24.0,68.0
58.0,29.0
58.0,29.0
80.0,9.0
61.0,25.0
49.0,37.0
65.0,21.0
45.0,40.0
52.0,22.0
38.0,36.0
32.0,51.0
26.0,66.0
14.0,85.0
15.0,86.0
15.0,87.0
15.0,88.0
14.0,90.0
19.0,86.0
15.0,92.0
47.0,59.0
102.0,5.0
79.0,20.0
45.0,48.0
36.0,56.0
30.0,62.0
30.0,62.0
28.0,60.0
39.0,50.0
41.0,41.0
70.0,18.0
75.0,7.0
47.0,29.0
44.0,30.0
36.0,41.0
23.0,59.0
18.0,72.0
9.0,92.0
11.0,94.0
24.0,83.0
28.0,84.0
28.0,85.0
44.0,70.0
60.0,55.0
67.0,47.0
73.0,37.0
103.0,9.0
99.0,2.0
94.0,2.0
97.0,2.0
92.0,2.0
85.0,2.0
76.0,2.0
75.0,2.0
70.0,2.0
69.0,2.0
68.0,2.0
61.0,4.0
57.0,10.0
63.0,18.0
76.0,32.0
72.0,52.0
67.0,60.0
84.0,65.0
91.0,64.0
80.0,72.0
59.0,81.0
78.0,58.0
118.0,23.0
126.5,11.0
125.0,2.0
118.0,3.0
103.0,10.0
84.0,22.0
47.0,52.0
41.0,52.0
52.0,43.0
44.0,44.0
32.0,51.0
41.0,45.0
72.0,16.0
71.0,18.0
40.0,47.0
28.0,61.0
33.0,68.0
11.0,90.0
6.0,97.0
7.0,96.0
8.0,97.0
7.0,99.0
14.0,92.0
39.0,67.0
92.0,16.0
86.0,19.0
30.0,64.0
33.0,59.0
34.0,60.0
